loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
,,54.72,25500,0.6769894361495972,0.5766908212560387,0.5675779745860609,0.840844266970907,0.6777011494252874,5.2924,625.807,78.226,,,,,
0.6665,2.5636623748211732e-06,55.79,26000,,,,,,,,,,,,,
,,55.79,26000,0.6769062876701355,0.5754830917874396,0.566859344894027,0.8391329150028523,0.6766329346826128,5.3049,624.324,78.04,,,,,
0.6671,2.420600858369099e-06,56.87,26500,,,,,,,,,,,,,
,,56.87,26500,0.6768410801887512,0.5754830917874396,0.5669109139992287,0.838562464346834,0.6764841233317993,5.2927,625.768,78.221,,,,,
0.667,2.2775393419170242e-06,57.94,27000,,,,,,,,,,,,,
,,57.94,27000,0.6768048405647278,0.5745772946859904,0.5662557781201849,0.838562464346834,0.6760174752816739,5.3022,624.643,78.08,,,,,
0.667,2.13447782546495e-06,59.01,27500,,,,,,,,,,,,,
,,59.01,27500,0.6767372488975525,0.5754830917874396,0.5669625627170977,0.8379920136908158,0.6763351749539596,5.2867,626.473,78.309,,,,,
0.6666,1.9914163090128756e-06,60.09,28000,,,,,,,,,,,,,
,,60.09,28000,0.676693856716156,0.5757850241545893,0.5672853828306265,0.8368511123787792,0.6761926711223784,5.2999,624.912,78.114,,,,,
0.6657,1.8486409155937054e-06,61.16,28500,,,,,,,,,,,,,
,,61.16,28500,0.6766699552536011,0.5760869565217391,0.567504835589942,0.8368511123787792,0.6763485477178424,5.2865,626.502,78.313,,,,,
0.6667,1.705579399141631e-06,62.23,29000,,,,,,,,,,,,,
,,62.23,29000,0.6766185164451599,0.5760869565217391,0.5677143965851765,0.8345693097547062,0.6757505773672055,5.3022,624.645,78.081,,,,,
0.6668,1.5625178826895565e-06,63.3,29500,,,,,,,,,,,,,
,,63.3,29500,0.6766001582145691,0.5763888888888888,0.5677769171185127,0.8362806617227609,0.6763552479815456,5.2944,625.568,78.196,,,,,
0.6669,1.4194563662374822e-06,64.38,30000,,,,,,,,,,,,,
,,64.38,30000,0.6765614151954651,0.5763888888888888,0.5679347826086957,0.8345693097547062,0.675906675906676,5.2906,626.018,78.252,,,,,
0.6669,1.276680972818312e-06,65.45,30500,,,,,,,,,,,,,
,,65.45,30500,0.6765003800392151,0.5763888888888888,0.5680933852140078,0.8328579577866515,0.6754568586629656,5.2782,627.492,78.436,,,,,
0.666,1.1336194563662375e-06,66.52,31000,,,,,,,,,,,,,
,,66.52,31000,0.6764912009239197,0.5769927536231884,0.5684292379471229,0.833998859098688,0.6760693641618497,5.2682,628.674,78.584,,,,,
0.6664,9.905579399141632e-07,67.6,31500,,,,,,,,,,,,,
,,67.6,31500,0.6764824986457825,0.5763888888888888,0.567987567987568,0.833998859098688,0.6757568754333256,5.2786,627.437,78.43,,,,,
0.6665,8.474964234620887e-07,68.67,32000,,,,,,,,,,,,,
,,68.67,32000,0.6764436960220337,0.5766908212560387,0.5683145192681978,0.8328579577866515,0.6756131420638594,5.2537,630.408,78.801,,,,,
0.6659,7.047210300429185e-07,69.74,32500,,,,,,,,,,,,,
,,69.74,32500,0.6764407753944397,0.5766908212560387,0.5683145192681978,0.8328579577866515,0.6756131420638594,5.2609,629.552,78.694,,,,,
0.6657,5.616595135908441e-07,70.82,33000,,,,,,,,,,,,,
,,70.82,33000,0.6764315366744995,0.5769927536231884,0.5684824902723735,0.8334284084426697,0.6759195003469812,5.2338,632.808,79.101,,,,,
0.6665,4.185979971387697e-07,71.89,33500,,,,,,,,,,,,,
,,71.89,33500,0.6764230132102966,0.5766908212560387,0.5682613768961493,0.8334284084426697,0.6757631822386678,5.2259,633.772,79.221,,,,,
0.6667,2.755364806866953e-07,72.96,34000,,,,,,,,,,,,,
,,72.96,34000,0.6764209270477295,0.5766908212560387,0.5682613768961493,0.8334284084426697,0.6757631822386678,5.3513,618.919,77.365,,,,,
0.666,1.3276108726752504e-07,74.03,34500,,,,,,,,,,,,,
,,74.03,34500,0.6764146089553833,0.5766908212560387,0.5682613768961493,0.8334284084426697,0.6757631822386678,5.2705,628.407,78.551,,,,,
,,75.0,34950,,,,,,,,,2098.1086,1065.495,16.658,1.955921723208576e+17,0.671617726774857
