loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
,,94.42,44000,2.2637598514556885,0.7270531400966184,0.7446685878962536,0.7370222475755848,0.7408256880733946,5.6883,582.252,72.781,,,,,
0.0031,4.5493562231759656e-07,95.49,44500,,,,,,,,,,,,,
,,95.49,44500,2.239779472351074,0.7321859903381642,0.7491369390103567,0.7427267541357673,0.745918075050129,5.6742,583.698,72.962,,,,,
0.0026,3.478540772532189e-07,96.57,45000,,,,,,,,,,,,,
,,96.57,45000,2.242628812789917,0.7315821256038647,0.7416107382550335,0.7564175698802054,0.7489409771251059,5.6497,586.224,73.278,,,,,
0.002,2.4055793991416313e-07,97.64,45500,,,,,,,,,,,,,
,,97.64,45500,2.272146701812744,0.7285628019323671,0.7494158878504673,0.7318881916714204,0.7405483405483405,5.673,583.823,72.978,,,,,
0.0028,1.332618025751073e-07,98.71,46000,,,,,,,,,,,,,
,,98.71,46000,2.25111722946167,0.7321859903381642,0.7474285714285714,0.7461494580718768,0.7467884670282615,5.6784,583.258,72.907,,,,,
0.0014,2.5965665236051507e-08,99.79,46500,,,,,,,,,,,,,
,,99.79,46500,2.2478349208831787,0.7327898550724637,0.7474344355758267,0.7478608100399315,0.7476475620188195,5.7105,579.984,72.498,,,,,
,,100.0,46600,,,,,,,,,4803.7921,620.489,9.701,2.607895630944768e+17,0.07582882694036663
